"";"title";"Year"
"731";"Shaft";"1971"
"732";"The Crunch Bird";"1971"
"733";"The Hellstrom Chronicle";"1971"
"734";"Patton";"1970"
"735";"Ryan's Daughter";"1970"
"736";"Airport";"1970"
"737";"Love Story";"1970"
"738";"M*A*S*H";"1970"
"739";"Tora! Tora! Tora!";"1970"
"740";"Women in Love";"1970"
"741";"Lovers and Other Strangers";"1970"
"742";"Woodstock";"1970"
"743";"Cromwell";"1970"
"744";"Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)";"1970"
"745";"Interviews with My Lai Veterans";"1970"
"746";"Is It Always Right to Be Right?";"1970"
"747";"Let It Be";"1970"
"748";"The Resurrection of Broncho Billy";"1970"
"749";"Midnight Cowboy";"1969"
"750";"Butch Cassidy and the Sundance Kid";"1969"
"751";"Hello, Dolly!";"1969"
"752";"Z";"1969"
"753";"Anne of the Thousand Days";"1969"
"754";"They Shoot Horses, Don't They?";"1969"
"755";"Marooned";"1969"
"756";"The Magic Machines";"1969"
"757";"The Prime of Miss Jean Brodie";"1969"
"758";"True Grit";"1969"
"759";"Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein)";"1969"
"760";"Cactus Flower";"1969"
"761";"Czechoslovakia 1968";"1969"
"762";"It's Tough to Be a Bird";"1969"
"763";"Oliver!";"1968"
